Date high/low,Level high/low,Supp/Resist,Long Action,Long Date detected,Level Close,Long Trade Day,Level trade
2024-07-23,186.41,resistance,,2024-07-24,180.83,2024-07-24 15:50:00,
2024-07-25,179.85,support,buy,2024-07-26,182.5,2024-07-26 15:50:00,
2024-07-31,186.98,resistance,sell,2024-08-01,184.07,2024-08-01 15:50:00,
2024-08-05,161.02,support,buy,2024-08-06,161.93,2024-08-06 15:50:00,
2024-08-21,180.11,resistance,sell,2024-08-22,176.13,2024-08-22 15:50:00,
2024-08-28,170.8,support,buy,2024-08-29,172.12,2024-08-29 15:50:00,
2024-08-30,178.5,resistance,sell,2024-09-03,176.25,2024-09-03 15:50:00,
2024-09-06,171.39,support,buy,2024-09-09,175.4,2024-09-09 15:50:00,
2024-09-24,193.96,resistance,sell,2024-09-25,192.53,2024-09-25 15:50:00,
2024-10-07,180.8,support,buy,2024-10-08,182.72,2024-10-08 15:50:00,
2024-10-23,184.71,support,,2024-10-24,186.38,2024-10-24 15:50:00,
2024-11-13,214.1,resistance,sell,2024-11-14,211.48,2024-11-14 15:50:00,
2024-11-22,197.12,support,buy,2024-11-25,201.45,2024-11-25 15:50:00,
2024-12-16,232.93,resistance,sell,2024-12-17,231.15,2024-12-17 15:50:00,
2024-12-18,220.52,support,buy,2024-12-19,223.29,2024-12-19 15:50:00,
2024-12-31,219.39,support,,2025-01-02,220.22,2025-01-02 15:50:00,
2025-01-06,227.61,resistance,sell,2025-01-07,222.11,2025-01-07 15:50:00,
2025-01-14,217.76,support,buy,2025-01-15,223.35,2025-01-15 15:50:00,
2025-01-30,234.64,support,,2025-01-31,237.68,2025-01-31 15:50:00,
2025-02-04,242.06,resistance,sell,2025-02-05,236.17,2025-02-05 15:50:00,
2025-03-18,192.82,support,buy,2025-03-19,195.54,2025-03-19 15:50:00,
2025-03-25,205.71,resistance,sell,2025-03-26,201.13,2025-03-26 15:50:00,
2025-04-08,170.66,support,buy,2025-04-09,191.1,2025-04-09 15:50:00,
2025-04-21,167.32,support,,2025-04-22,173.18,2025-04-22 15:50:00,
2025-05-13,211.37,resistance,sell,2025-05-14,210.25,2025-05-14 15:50:00,
2025-05-23,200.99,support,buy,2025-05-27,206.02,2025-05-27 15:50:00,
2025-06-10,217.61,resistance,sell,2025-06-11,213.2,2025-06-11 15:50:00,
2025-06-23,208.47,support,buy,2025-06-24,212.77,2025-06-24 15:50:00,
2025-07-08,219.36,support,,2025-07-09,222.54,2025-07-09 15:50:00,
