Date high/low,Level high/low,Supp/Resist,Long Action,Long Date detected,Level Close,Long Trade Day,Level trade
2024-07-23,181.79,resistance,,2024-07-24,172.63,2024-07-24 15:50:00,
2024-07-26,167.0,support,buy,2024-07-29,169.53,2024-07-29 15:50:00,
2024-07-31,171.54,resistance,sell,2024-08-01,170.76,2024-08-01 15:50:00,
2024-08-06,158.29,support,buy,2024-08-07,158.94,2024-08-07 15:50:00,
2024-08-14,160.37,support,,2024-08-15,161.3,2024-08-15 15:50:00,
2024-08-20,167.18,resistance,sell,2024-08-21,165.85,2024-08-21 15:50:00,
2024-09-10,148.66,support,buy,2024-09-11,151.16,2024-09-11 15:50:00,
2024-09-20,163.59,resistance,sell,2024-09-23,161.85,2024-09-23 15:50:00,
2024-09-25,161.49,support,buy,2024-09-26,162.73,2024-09-26 15:50:00,
2024-10-04,167.06,resistance,sell,2024-10-07,162.98,2024-10-07 15:50:00,
2024-10-09,161.86,support,buy,2024-10-10,162.08,2024-10-10 15:50:00,
2024-10-15,165.46,resistance,sell,2024-10-16,165.16,2024-10-16 15:50:00,
2024-10-24,162.72,support,buy,2024-10-25,165.27,2024-10-25 15:50:00,
2024-10-30,174.46,resistance,sell,2024-10-31,171.11,2024-10-31 15:50:00,
2024-11-04,169.24,support,buy,2024-11-05,169.74,2024-11-05 15:50:00,
2024-11-12,181.62,resistance,sell,2024-11-13,178.88,2024-11-13 15:50:00,
2024-11-22,164.76,support,buy,2024-11-25,167.65,2024-11-25 15:50:00,
2024-12-16,196.66,resistance,sell,2024-12-17,195.42,2024-12-17 15:50:00,
2024-12-18,188.4,support,buy,2024-12-19,188.51,2024-12-19 15:50:00,
2024-12-24,196.11,resistance,sell,2024-12-26,195.6,2024-12-26 15:50:00,
2024-12-31,189.3,support,buy,2025-01-02,189.43,2025-01-02 15:50:00,
2025-01-06,196.87,resistance,sell,2025-01-07,195.49,2025-01-07 15:50:00,
2025-01-14,189.66,support,buy,2025-01-15,195.55,2025-01-15 15:50:00,
2025-01-27,191.81,support,,2025-01-28,195.3,2025-01-28 15:50:00,
2025-02-04,206.38,resistance,sell,2025-02-05,191.33,2025-02-05 15:50:00,
2025-02-12,183.61,support,buy,2025-02-13,186.14,2025-02-13 15:50:00,
2025-03-03,167.01,support,,2025-03-04,170.92,2025-03-04 15:50:00,
2025-03-07,173.86,resistance,sell,2025-03-10,165.87,2025-03-10 15:50:00,
2025-03-18,160.67,support,buy,2025-03-19,163.89,2025-03-19 15:50:00,
2025-03-25,170.56,resistance,sell,2025-03-26,165.06,2025-03-26 15:50:00,
2025-04-08,144.7,support,buy,2025-04-09,158.71,2025-04-09 15:50:00,
2025-04-14,159.07,resistance,sell,2025-04-15,156.31,2025-04-15 15:50:00,
2025-04-21,147.67,support,buy,2025-04-22,151.47,2025-04-22 15:50:00,
2025-04-25,161.96,resistance,sell,2025-04-28,160.61,2025-04-28 15:50:00,
2025-04-30,158.8,support,buy,2025-05-01,161.3,2025-05-01 15:50:00,
2025-05-05,164.21,resistance,sell,2025-05-06,163.23,2025-05-06 15:50:00,
2025-05-07,151.38,support,buy,2025-05-08,154.28,2025-05-08 15:50:00,
2025-05-27,172.9,resistance,sell,2025-05-28,172.36,2025-05-28 15:50:00,
2025-06-03,166.18,support,buy,2025-06-04,168.05,2025-06-04 15:50:00,
2025-06-10,178.6,resistance,sell,2025-06-11,177.35,2025-06-11 15:50:00,
2025-06-23,165.19,support,buy,2025-06-24,166.77,2025-06-24 15:50:00,
2025-07-03,179.53,resistance,sell,2025-07-07,176.79,2025-07-07 15:50:00,
2025-07-08,174.36,support,buy,2025-07-09,176.62,2025-07-09 15:50:00,
